timestamp,ecg_value
0.0006,487
0.0006,333
0.0006,202
0.0023,114
0.0027,91
0.0027,212
0.0027,420
0.0045,557
0.0045,511
0.0045,368
0.0056,231
0.0056,133
0.0056,83
0.0056,152
0.0056,338
0.0056,514
0.0056,530
0.0056,408
0.0074,270
0.0074,167
0.0074,104
0.0074,128
0.0074,283
0.0091,479
0.0091,557
0.0091,472
0.0091,339
0.0091,229
0.0091,157
0.0091,144
0.0091,258
0.0091,452
0.0109,582
0.0109,545
0.0109,422
0.0109,304
0.0125,223
0.0125,182
0.0125,248
0.0125,421
0.0125,581
0.0143,597
0.0143,491
0.016,371
0.016,278
0.016,222
0.0176,242
0.0176,381
0.0192,553
0.0192,621
0.0205,540
0.022,418
0.0226,316
0.0226,250
0.0226,234
0.0237,334
0.0242,506
0.0242,618
0.0253,579
0.0253,463
0.0259,355
0.0259,279
0.0269,240
0.0269,296
0.0274,450
0.0274,591
0.0286,599
0.0286,496
0.0286,383
0.0286,297
0.0297,244
0.0303,259
0.0308,385
0.0318,541
0.0346,602
0.0391,524
0.0401,410
0.0401,315
0.0401,253
0.0418,236
0.0418,325
0.0418,482
0.0418,586
0.0418,546
0.0418,437
0.0418,337
0.0418,268
0.0436,231
0.0436,282
0.0436,425
0.0436,556
0.0436,563
0.0436,464
0.0436,359
0.0436,279
0.0458,230
0.0458,243
0.0458,362
0.0458,510
0.0458,565
0.0468,490
0.0468,382
0.0468,296
0.0468,241
0.0468,226
0.0468,311
0.0468,461
0.0468,559
0.0468,520
0.0468,415
0.0468,321
0.0468,259
0.0485,224
0.0485,272
0.0485,408
0.0485,533
0.0485,539
0.0485,443
0.0485,343
0.0485,270
0.0485,225
0.0501,239
0.0501,353
0.0501,496
0.0525,551
0.0525,480
0.0525,378
0.0535,296
0.0535,242
0.0535,227
0.0535,307
0.0535,451
0.0535,546
0.0535,508
0.0535,407
0.0553,317
0.0553,256
0.0553,223
0.0553,269
0.0553,401
0.0553,525
0.0553,533
0.0553,443
0.0553,347
0.0553,276
0.0553,231
0.0553,242
0.057,350
0.057,486
0.057,536
0.057,464
0.057,361
0.057,278
0.057,226
0.057,210
0.057,288
0.057,429
0.057,521
0.057,486
0.057,387
0.057,300
0.0587,242
0.0587,209
0.0587,254
0.0587,383
0.0587,505
0.0587,513
0.0587,424
0.0587,331
0.0587,266
0.0587,225
0.0587,237
0.0587,345
0.0587,481
0.0587,532
0.0603,464
0.0603,367
0.0603,291
0.0603,243
0.0603,232
0.0603,311
0.0603,450
0.0603,543
0.0603,509
0.0603,412
0.0603,327
0.0603,269
0.0619,235
0.0619,275
0.0619,398
0.0619,515
0.0619,522
0.0619,435
0.0619,345
0.0619,280
0.0619,239
0.0619,250
0.0619,353
0.0635,483
0.0635,534
0.0635,465
0.0635,370
0.0635,295
0.0635,249
0.0635,235
0.0635,308
0.0635,438
0.0635,521
0.0635,476
0.0635,367
0.0635,267
0.0652,191
0.0652,131
0.0652,139
0.0652,222
0.0652,301
0.0652,279
0.0652,171
0.0652,69
0.0652,5
0.0652,0
0.0652,20
0.0652,147
0.0652,329
0.0652,456
0.0668,456
0.0668,408
0.0668,359
0.0668,314
0.0668,292
0.0668,352
0.0668,466
0.0668,541
0.0668,498
0.0668,399
0.0668,315
0.0668,262
0.0668,234
0.0668,276
0.0683,399
0.0694,516
0.0694,526
0.0699,442
0.0699,356
0.0699,294
0.0699,255
0.0699,265
0.0699,365
0.0699,493
0.0717,545
0.0717,478
0.0717,384
0.0717,310
0.0717,263
0.0717,247
0.0717,317
0.0717,447
0.0717,536
0.0717,503
0.0735,410
0.0735,328
0.0735,274
0.0735,243
0.0735,282
0.0735,401
0.0735,516
0.0735,523
0.0735,437
0.0735,346
0.0735,282
0.0735,242
0.0735,252
0.0735,352
0.0752,481
0.0752,532
0.0752,467
0.0752,373
0.0752,300
0.0752,253
0.0752,237
0.0752,306
0.0752,436
0.0752,524
0.0752,491
0.0752,398
0.0752,315
0.0752,260
0.0752,227
0.0769,264
0.0769,382
0.0769,497
0.0769,507
0.0769,422
0.0769,332
0.0769,270
0.0769,229
0.0769,237
0.0769,333
0.0769,462
0.0769,513
0.0769,447
0.0769,353
0.0769,279
0.0786,233
0.0786,218
0.0786,287
0.0786,417
0.0786,505
0.0786,472
0.0786,376
0.0786,293
0.0786,239
0.0786,208
0.0786,246
0.0786,364
0.0786,480
0.0786,490
0.0786,404
0.0803,313
0.0803,249
0.0803,207
0.0803,213
0.0803,309
0.0803,439
0.0803,492
0.0803,429
0.0803,336
0.0803,264
0.0803,217
0.0803,199
0.0803,267
0.0803,395
0.0803,484
0.082,453
0.082,359
0.082,275
0.082,220
0.082,186
0.082,222
0.082,339
0.082,458
0.082,471
0.082,388
0.082,299
0.082,238
0.082,199
0.082,208
0.082,306
0.0837,438
0.0837,497
0.0837,437
0.0837,348
0.0837,279
0.0837,236
0.0837,223
0.0837,294
0.0837,426
0.0837,521
0.0837,494
0.0837,404
0.0837,324
0.0853,272
0.0853,243
0.0856,281
0.0856,401
0.0856,519
0.0866,533
0.0866,452
0.0866,365
0.0866,301
0.0866,261
0.0885,268
0.0888,365
0.0888,494
0.0888,550
0.0898,489
0.0898,396
0.0898,322
0.0898,275
0.0898,258
0.0898,325
0.0898,455
0.0898,547
0.0898,518
0.0898,425
0.0898,343
0.0916,287
0.0916,255
0.0916,290
0.0916,407
0.0916,524
0.0916,538
0.0916,456
0.0916,369
0.0916,305
0.0916,264
0.0916,268
0.0916,363
0.0932,490
0.0932,546
0.0932,483
0.0932,389
0.0932,314
0.0932,267
0.0932,251
0.0932,319
0.0932,449
0.0932,543
0.0932,517
0.0932,424
0.0932,341
0.0949,285
0.0949,252
0.0949,286
0.0949,402
0.0949,518
0.0949,531
0.0949,448
0.0949,359
0.0949,295
0.0949,254
0.0949,259
0.0949,355
0.0949,484
0.0949,541
0.0966,480
0.0966,387
0.0966,313
0.0966,266
0.0966,247
0.0966,312
0.0966,442
0.0966,535
0.0966,508
0.0966,416
0.0966,334
0.0966,279
0.0966,247
0.0966,282
0.0982,399
0.0982,517
0.0982,533
0.0982,451
0.0982,362
0.0982,297
0.0982,255
0.0982,259
0.0982,354
0.0982,482
0.0982,540
0.0982,479
0.0982,387
0.0999,313
0.0999,268
0.0999,250
0.0999,315
0.0999,444
0.0999,537
0.0999,511
0.0999,419
0.0999,336
0.0999,280
0.0999,247
0.0999,280
0.0999,396
0.1015,513
0.1015,530
0.1015,448
0.1015,359
0.1015,294
0.1015,253
0.1015,255
0.1031,347
0.1035,473
0.1035,529
0.1035,466
0.1035,370
0.1035,295
0.1045,246
0.1045,226
0.1045,290
0.1045,419
0.1045,514
0.1045,489
0.1045,397
0.1045,315
0.1045,262
0.1045,231
0.1045,265
0.1045,383
0.1045,502
0.1062,520
0.1062,439
0.1062,349
0.1062,285
0.1062,243
0.1062,247
0.1062,342
0.1062,473
0.1062,535
0.1062,477
0.1062,385
0.1062,311
0.1062,265
0.1062,245
0.1078,309
0.1078,437
0.1078,532
0.1078,508
0.1078,416
0.1078,333
0.1078,278
0.1078,245
0.1078,277
0.1078,391
0.1078,509
0.1078,526
0.1078,444
0.1078,355
0.1078,290
0.1095,249
0.1095,252
0.1095,345
0.1095,475
0.1095,536
0.1095,478
0.1095,386
0.1095,312
0.1095,263
0.1095,241
0.1095,298
0.1095,417
0.1095,500
0.1112,459
0.1112,345
0.1112,235
0.1112,146
0.1112,75
0.1112,68
0.1112,149
0.1112,245
0.1112,250
0.1112,168
0.1112,89
0.1112,44
0.1112,32
0.1129,84
0.1129,245
0.1129,444
0.1129,557
0.1129,527
0.1129,442
0.1129,363
0.1129,300
0.1129,264
0.1129,312
0.1129,429
0.1129,520
0.1145,495
0.1145,404
0.1145,323
0.1145,271
0.1145,241
0.1145,273
0.1145,389
