timestamp,ecg_value
0.0,197
0.0,196
0.0,196
0.0,197
0.0,197
0.0,197
0.0,197
0.004,197
0.004,197
0.004,197
0.004,196
0.004,196
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,196
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,196
0.004,196
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,196
0.004,196
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,196
0.004,196
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,196
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.0135,197
0.0148,197
0.0148,196
0.0148,196
0.0148,197
0.0148,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,196
0.0169,196
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,196
0.0169,196
0.0169,196
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,196
0.0169,196
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,196
0.0169,196
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,196
0.0169,196
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,196
0.0169,196
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0169,197
0.0311,197
0.0311,196
0.0311,196
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,196
0.0359,197
0.0359,197
0.0359,197
0.0359,197
0.0371,197
0.0371,197
0.0371,197
0.0371,196
0.0371,196
0.0371,197
0.0371,197
0.0371,197
0.0371,197
0.0371,197
0.0371,197
0.0371,196
0.0371,196
0.0371,197
0.0371,197
0.0414,197
0.0414,197
0.0414,197
0.0414,197
0.0414,196
0.0414,196
0.0414,197
0.0414,197
0.0414,197
0.0414,197
0.0414,197
0.0414,197
0.0414,197
0.0414,196
0.0414,196
0.0455,197
0.0455,197
0.0468,197
0.0468,197
0.0468,197
0.0468,197
0.0468,196
0.0488,196
0.0488,197
0.0488,197
0.0488,197
0.0488,197
0.0488,197
0.0508,197
0.0508,196
0.0508,196
0.0508,196
0.0508,197
0.0508,197
0.0508,197
0.0529,197
0.0529,197
0.0529,197
0.0529,196
0.0529,196
0.0529,197
0.0529,197
0.0529,197
0.0549,197
0.0549,197
0.0549,197
0.0549,196
0.0549,196
0.0549,197
0.0549,197
0.0549,197
0.0549,197
0.0569,197
0.0569,197
0.0569,196
0.0569,196
0.0569,197
0.0569,197
0.0569,197
0.0589,197
0.0589,197
0.0589,197
0.0589,197
0.0589,196
0.0589,196
0.0589,197
0.0589,197
0.0589,197
0.0609,197
0.0609,197
0.0609,197
0.0609,196
0.0609,196
0.0609,197
0.0664,197
0.0664,197
0.0664,197
0.0664,197
0.0664,197
0.0664,196
0.0664,196
0.0664,197
0.0664,197
0.0664,197
0.0664,197
0.0664,197
0.0664,197
0.0664,196
0.0664,196
0.0704,196
0.0704,197
0.0704,197
0.0704,197
0.0714,197
0.0714,197
0.0714,197
0.0714,196
0.0714,196
0.0714,196
0.0714,196
0.0714,196
0.0714,196
0.0714,195
0.0714,195
0.0734,194
0.0734,194
0.0734,194
0.0734,195
0.0734,195
0.0734,196
0.0734,197
0.0734,198
0.0734,198
0.0734,198
0.0734,199
0.0755,199
0.0755,199
0.0755,198
0.0755,198
0.0755,198
0.0755,197
0.0755,197
0.0755,197
0.077,197
0.077,197
0.077,197
0.077,197
0.077,197
0.077,197
0.077,197
0.077,196
0.077,197
0.077,197
0.077,197
0.077,197
0.079,197
0.079,197
0.079,197
0.079,196
0.079,196
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,196
0.0808,196
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,196
0.0808,196
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,196
0.0808,196
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,196
0.0808,196
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,196
0.0808,196
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,196
0.0808,196
0.0808,196
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,197
0.0808,196
0.0808,196
0.0808,196
0.093,197
0.093,197
0.093,197
0.093,197
0.093,197
0.093,197
0.093,196
0.093,196
0.093,196
0.093,197
0.093,197
0.093,197
0.0996,197
0.0996,197
0.0996,196
0.0996,196
0.0996,196
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,196
0.0996,196
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,196
0.0996,196
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,196
0.0996,196
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,196
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.0996,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,196
0.1089,196
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,196
0.1089,196
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1089,197
0.1142,196
0.1142,197
0.1142,197
0.1142,197
0.1142,197
0.1177,197
0.1177,197
0.1177,197
0.1177,196
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,196
0.1177,196
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,196
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,196
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,197
0.1177,196
0.1177,196
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,196
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,196
0.1247,196
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,197
0.1247,196
0.1247,196
0.1247,197
0.1247,197
0.1247,197
0.1332,197
0.1332,197
0.1332,197
0.1332,196
0.1332,196
0.1332,196
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,196
0.1332,196
0.1332,196
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,196
0.1332,196
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,196
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,197
0.1332,196
0.14,196
0.14,197
0.14,197
0.14,197
0.14,197
0.14,197
0.14,197
0.14,196
0.14,196
0.14,197
0.14,197
0.14,197
0.14,197
0.14,197
0.14,197
0.14,196
0.14,196
0.14,197
0.14,197
0.14,197
0.14,197
0.14,197
0.14,197
0.14,196
0.1478,196
0.1478,196
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,196
0.1478,196
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,196
0.1478,196
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,197
0.1478,196
0.1478,196
0.1478,197
0.1478,197
0.1478,197
0.1558,197
0.1558,197
0.1558,197
0.1558,196
0.1558,196
0.1558,197
0.1558,197
0.1558,197
0.1558,197
0.1558,197
0.1558,197
0.1558,197
0.1558,196
0.1558,197
0.1558,197
