timestamp,ecg_value
0.0,198
0.0,198
0.0,198
0.0,197
0.002,197
0.002,197
0.002,197
0.002,197
0.002,197
0.002,198
0.002,197
0.002,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,197
0.004,198
0.004,197
0.004,197
0.004,197
0.004,197
0.006,197
0.006,197
0.006,197
0.006,198
0.006,198
0.006,198
0.006,197
0.006,197
0.006,197
0.008,197
0.008,197
0.008,198
0.008,198
0.008,197
0.008,197
0.008,197
0.008,197
0.008,197
0.008,197
0.0101,197
0.0101,197
0.0101,198
0.0101,197
0.0101,197
0.0101,197
0.0101,197
0.0101,197
0.0101,197
0.0101,198
0.0121,197
0.0121,197
0.0121,197
0.0121,197
0.0121,197
0.0121,197
0.0121,197
0.0121,197
0.0121,197
0.0141,197
0.0141,197
0.0141,197
0.0154,197
0.017,197
0.0174,197
0.0174,198
0.0174,198
0.0184,197
0.0188,197
0.0191,197
0.0191,197
0.0191,197
0.0191,197
0.0191,197
0.0191,198
0.0191,197
0.0191,197
0.0191,197
0.0191,197
0.0191,197
0.0191,197
0.0191,197
0.0191,197
0.0191,198
0.0191,198
0.0191,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,198
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0238,198
0.0238,197
0.0238,197
0.0238,197
0.0238,197
0.0321,197
0.0325,197
0.0325,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,197
0.0331,198
0.0364,198
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0364,197
0.0403,197
0.0403,197
0.0403,197
0.0403,197
0.0403,197
0.0403,197
0.0403,197
0.0403,197
0.0423,197
0.0423,197
0.0423,197
0.0423,197
0.0423,197
0.0423,197
0.0439,197
0.0439,197
0.0439,197
0.0447,197
0.0447,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0452,197
0.0488,197
0.0488,198
0.0505,198
0.0505,198
0.0505,198
0.0505,198
0.0505,199
0.0505,199
0.0505,199
0.0505,199
0.0505,199
0.0505,198
0.0505,199
0.0505,198
0.0505,198
0.0505,198
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,198
0.0505,198
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,197
0.0505,198
0.0505,203
0.0505,209
0.0505,244
0.0505,281
0.0505,312
0.0505,321
0.0505,320
0.0505,317
0.0505,310
0.0505,297
0.0505,282
0.0505,270
0.0505,259
0.0505,250
0.0647,243
0.0647,238
0.0647,236
0.0647,233
0.0647,230
0.0647,226
0.0647,223
0.0668,220
0.0668,219
0.0668,217
0.0668,215
0.0668,213
0.068,212
0.068,210
0.0685,208
0.0685,206
0.0685,204
0.0685,203
0.0685,202
0.0685,202
0.0685,201
0.0685,200
0.0685,200
0.0685,199
0.0685,199
0.0685,199
0.0685,199
0.0685,199
0.0685,199
0.0685,199
0.0685,200
0.0685,200
0.0685,200
0.0685,199
0.0685,199
0.0685,199
0.0685,199
0.0685,199
0.0685,199
0.0685,198
0.0733,198
0.0733,198
0.0733,198
0.0733,198
0.0733,198
0.0733,198
0.0733,198
0.0733,198
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,198
0.0733,198
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,198
0.0733,198
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,198
0.0733,198
0.0733,198
0.0733,197
0.0733,197
0.0733,197
0.0733,197
0.0733,198
0.0733,205
0.0733,205
0.0733,204
0.0733,204
0.0733,203
0.0733,202
0.0733,201
0.0733,201
0.0733,200
0.0733,200
0.0733,200
0.0733,200
0.0733,199
0.0817,199
0.0817,199
0.0817,201
0.0821,212
0.0821,235
0.0821,261
0.0821,269
0.0821,274
0.0821,273
0.0821,271
0.0821,270
0.0821,269
0.0821,266
0.0821,265
0.0821,266
0.0821,268
0.0821,272
0.085,273
0.085,274
0.085,277
0.085,278
0.085,276
0.085,276
0.085,275
0.085,275
0.085,270
0.085,261
0.085,251
0.085,243
0.085,236
0.085,231
0.085,226
0.085,221
0.085,217
0.085,214
0.085,212
0.085,210
0.085,208
0.085,206
0.085,205
0.085,204
0.085,203
0.085,202
0.085,201
0.085,200
0.085,200
0.085,200
0.085,200
0.0899,200
0.0899,199
0.0899,199
0.0899,199
0.0899,200
0.0899,200
0.0899,200
0.0899,200
0.0899,200
0.0899,199
0.0899,199
0.0899,199
0.0899,199
0.0899,199
0.0899,199
0.0899,199
0.0899,199
0.0899,199
0.0899,199
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,199
0.0899,199
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,198
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,197
0.0899,198
0.0899,198
0.0899,197
0.0899,197
0.0979,197
0.0979,197
0.0988,197
0.0988,197
0.0988,197
0.0988,197
0.1001,197
0.1001,197
0.1001,197
0.1009,198
0.1009,198
0.1009,199
0.1009,199
0.1009,199
0.1009,200
0.1009,200
0.1009,200
0.1009,200
0.1009,201
0.1009,201
0.1009,202
0.1009,202
0.1009,203
0.1009,204
0.1009,204
0.1009,205
0.1009,206
0.1009,207
0.1009,208
0.1009,208
0.1009,208
0.1009,208
0.1009,208
0.1009,209
0.1009,210
0.1009,210
0.1009,211
0.1009,211
0.1009,212
0.1009,213
0.1009,215
0.1009,219
0.1009,226
0.1009,228
0.1009,230
0.1009,236
0.1009,237
0.1009,241
0.1061,245
0.1061,251
0.1061,256
0.1061,262
0.1061,266
0.1061,268
0.1061,269
0.1061,269
0.1061,268
0.1061,268
0.1061,269
0.1061,268
0.1061,268
0.1061,270
0.1061,275
0.1061,279
0.1061,289
0.1061,300
0.1061,312
0.1061,319
0.1061,321
0.1061,322
0.1061,322
0.1061,322
0.1061,320
0.1061,316
0.1061,317
0.1061,322
0.1061,328
0.1061,331
0.1061,329
0.1061,327
0.1061,325
0.1061,323
0.1061,323
0.1061,328
0.1061,332
0.1061,332
0.1061,329
0.1061,325
0.1061,319
0.1061,315
0.1061,312
0.1061,316
0.1061,325
0.1061,332
0.1061,333
0.1061,331
0.1061,326
0.1061,322
0.1061,320
0.1061,322
0.1061,330
0.1061,338
0.1061,337
0.1061,328
0.1061,320
0.1061,316
0.1061,318
0.1061,322
0.1061,328
0.1061,335
0.1061,335
0.1061,330
0.1061,323
0.1061,319
0.1061,319
0.1061,322
0.1145,330
0.1145,338
0.1145,341
0.1145,335
0.1145,326
0.1145,319
0.1145,317
0.1145,320
0.1145,326
0.1145,332
0.1145,334
0.1145,332
0.1145,331
0.1145,330
0.1145,331
0.1145,329
0.1145,329
0.1145,328
0.1145,328
0.1145,329
0.1145,329
0.1145,326
0.1145,320
0.1145,315
0.1145,311
0.1145,307
0.1145,303
0.1145,299
0.1145,294
0.1145,290
0.1145,291
0.1186,291
0.1186,289
0.1186,290
0.1186,299
0.1186,306
0.1186,310
0.1186,313
0.1186,313
0.1197,313
0.1197,315
0.1197,317
0.1197,320
0.1197,326
0.1197,326
0.1197,324
0.1197,317
0.1197,312
0.1197,311
0.1197,315
0.1197,317
0.1197,319
0.1197,321
0.1197,317
0.1213,312
0.1213,308
0.1213,306
0.1213,303
0.1213,300
0.1213,300
0.1213,299
0.1213,299
0.1213,295
0.1213,291
0.1213,289
0.1213,289
0.1213,290
0.1213,291
0.123,291
0.123,290
0.123,287
0.123,283
0.123,281
0.123,280
0.123,279
0.123,281
0.123,281
0.123,283
0.123,285
0.123,285
0.123,285
0.123,280
0.123,277
0.123,274
0.1247,273
0.1247,274
0.1247,274
0.1247,272
0.1247,271
0.1247,269
0.1247,267
0.1247,264
0.1247,263
0.1247,263
0.1247,264
0.1247,262
0.1247,260
0.1263,255
0.1263,251
0.1263,247
0.1263,245
0.1263,244
0.1263,243
0.1263,242
0.1263,244
0.1263,246
0.1263,247
0.1263,251
0.1263,268
0.1263,299
0.1263,323
0.1279,323
0.1279,319
0.1279,316
0.1279,315
0.1279,316
0.1279,311
0.1279,307
0.1279,306
0.1279,305
0.1279,303
0.1279,301
0.1279,300
0.1279,301
0.1279,302
0.1294,303
0.1294,305
0.1294,306
0.1294,304
0.1294,305
0.1294,303
0.1294,303
0.1294,306
0.1294,309
0.1294,311
0.1294,315
0.1294,311
0.1294,307
0.1294,303
0.1294,296
0.1294,290
0.1294,286
0.1294,286
0.1294,285
0.1294,281
0.1294,277
0.1294,271
0.1294,265
0.1294,260
0.1294,259
0.1294,260
0.1294,256
0.1294,252
0.1294,248
0.1294,245
0.1294,242
0.1294,241
0.1294,240
0.1294,244
0.1294,247
0.1294,255
0.1294,261
0.1294,262
0.1294,260
0.1294,258
0.1294,257
0.1294,259
0.1294,264
0.1294,269
0.1294,272
0.1294,271
0.1294,270
0.1294,268
0.1294,267
0.1294,267
0.1294,270
0.1294,273
0.1294,277
0.1294,279
0.1294,279
0.1294,278
0.1294,276
0.1294,276
0.1294,279
0.1294,284
0.1294,287
0.1294,286
0.1294,283
0.1294,280
0.1294,278
0.1294,278
0.1294,281
0.1294,284
0.1294,287
0.1294,292
0.1294,294
0.1294,292
0.1294,288
0.1294,284
0.1294,282
0.1294,283
0.1294,287
0.1294,292
0.1294,294
0.1294,292
0.1294,288
0.1294,283
0.1389,280
0.1389,278
0.1389,279
0.1389,284
0.1389,287
0.1389,288
0.1389,287
0.1389,284
0.1389,280
0.1389,278
0.1389,278
0.1389,279
0.1389,281
0.1389,282
0.1389,281
0.1389,279
0.1389,278
0.1389,277
0.1389,278
0.1389,282
0.1389,286
0.1389,285
0.1389,283
0.1389,279
0.1389,278
0.1389,282
0.1389,285
0.1389,287
0.1389,290
0.1389,291
0.1389,287
0.1389,286
0.1389,284
0.1389,280
0.1389,280
0.1389,281
0.1389,285
0.1389,289
0.1389,290
0.1389,289
0.1389,286
0.1389,284
0.1389,284
0.1389,285
0.1389,288
0.1389,292
0.1389,298
0.1389,298
0.1389,297
0.1389,296
0.1389,294
0.1451,293
0.1451,292
0.1451,292
0.1451,291
0.1451,292
0.1451,291
0.1451,289
0.1451,287
0.1451,290
0.1451,290
0.1451,295
0.1451,298
0.1451,295
0.1451,292
0.1451,289
0.1451,286
0.1471,285
0.1471,288
0.1471,291
0.1471,294
0.1471,296
0.1471,295
0.1471,293
0.1471,291
0.1471,287
0.1471,286
0.1471,287
0.1471,290
0.1471,291
0.1471,292
0.1471,289
0.1471,285
0.1491,283
0.1491,281
0.1491,283
0.1491,287
0.1491,289
0.1491,289
0.1491,285
0.1491,281
0.1491,277
0.1491,277
0.1491,278
0.1491,284
0.1491,286
0.1491,289
0.1491,289
0.1491,287
0.1491,284
0.1511,283
0.1511,283
0.1511,286
0.1511,291
0.1511,295
0.1511,297
0.1511,296
0.1511,293
0.1511,289
0.1511,287
0.1511,290
0.1511,294
0.1511,299
0.1511,302
0.1511,299
0.1511,294
0.1511,288
0.1511,286
0.1531,288
0.1531,290
0.1531,293
0.1531,293
0.1531,291
0.1531,287
0.1531,285
0.1531,283
0.1531,285
0.1531,286
0.1531,288
0.1531,290
0.1531,284
0.1531,276
0.1531,268
0.1549,261
0.1549,256
0.1549,255
0.1549,255
0.1549,255
0.1549,253
0.1549,249
0.1549,244
0.1549,241
0.1549,238
0.1549,235
0.1549,233
0.1549,232
0.1549,231
0.1549,230
0.1549,229
0.1549,228
0.1549,228
0.1549,226
0.1549,225
0.1549,223
0.1549,222
0.1549,221
0.1549,221
0.1549,221
0.1549,221
0.1549,222
0.1549,223
0.1549,223
0.1549,223
0.1549,223
0.1549,224
0.1549,224
0.1549,226
0.1549,225
0.1549,225
0.1549,224
0.1549,222
0.1549,220
0.1549,218
0.1549,217
0.1549,216
0.1549,214
0.1549,213
0.1549,212
0.1549,211
0.1549,212
0.1549,213
0.1549,213
0.1549,213
0.1549,212
0.1549,212
0.1549,211
0.1549,211
0.1549,211
0.1549,212
0.1549,213
0.1549,213
0.1549,213
0.1549,214
0.1549,213
0.1549,212
0.1549,212
0.1549,212
0.1549,213
0.1549,213
0.1549,213
0.1549,212
0.1549,212
0.1549,212
0.1549,213
0.1549,213
0.1549,214
0.1549,215
0.1549,216
0.1549,216
0.1549,216
0.1549,217
0.1549,217
0.1549,217
0.1549,218
0.1549,218
0.1549,218
0.1549,218
0.1549,217
0.1549,217
0.1549,217
0.1549,217
0.1549,217
0.1549,217
0.1549,216
0.1549,216
0.1549,216
0.1549,216
0.1549,216
0.1549,215
0.1549,215
0.1549,215
0.1549,215
0.1549,215
0.1549,216
0.1549,216
0.1549,216
0.1549,216
0.1549,216
0.1549,216
0.1549,217
0.1549,218
0.1549,219
