timestamp,ecg_value
0.0009,197
0.0009,194
0.0009,194
0.0009,196
0.0009,199
0.0009,200
0.0026,200
0.0026,199
0.0026,198
0.0026,195
0.0026,194
0.0026,196
0.0026,198
0.0026,200
0.0043,200
0.0043,199
0.0043,198
0.0043,196
0.0043,194
0.0051,195
0.0051,197
0.0051,200
0.0051,200
0.0056,200
0.0056,199
0.006,197
0.006,195
0.006,194
0.006,196
0.006,199
0.006,200
0.0071,200
0.0071,199
0.0071,198
0.0071,195
0.0071,194
0.0071,196
0.0071,199
0.0071,200
0.0088,200
0.0088,199
0.0088,198
0.0088,196
0.0094,194
0.0094,195
0.0094,197
0.0099,200
0.0099,200
0.0099,200
0.0099,199
0.0099,197
0.0099,194
0.0099,194
0.0099,196
0.0116,199
0.0116,200
0.0116,200
0.0116,199
0.0116,198
0.0116,195
0.0116,194
0.0116,196
0.0116,198
0.0132,200
0.0132,200
0.0132,199
0.0132,198
0.0132,196
0.0142,194
0.0142,195
0.0145,197
0.0145,199
0.0145,200
0.0145,200
0.0145,199
0.0145,197
0.0145,194
0.0145,194
0.0145,196
0.0161,199
0.0161,200
0.0161,200
0.0161,199
0.0161,198
0.0161,195
0.0161,194
0.0184,195
0.0184,198
0.0184,200
0.0194,200
0.0194,199
0.0194,198
0.0194,196
0.021,194
0.021,195
0.0227,197
0.0227,199
0.0227,200
0.0244,199
0.0274,198
0.0284,197
0.0284,194
0.0284,194
0.0294,196
0.0299,199
0.0308,200
0.0308,200
0.0313,199
0.0313,198
0.0313,195
0.0313,194
0.0313,195
0.0324,198
0.0324,199
0.0324,200
0.0324,199
0.0324,198
0.0324,196
0.0324,194
0.0324,195
0.0324,197
0.0341,199
0.0344,200
0.0344,199
0.0344,198
0.0344,197
0.0355,194
0.0355,194
0.0355,196
0.0355,199
0.0355,200
0.0355,200
0.0369,199
0.0373,198
0.0373,195
0.0373,194
0.0373,195
0.0373,198
0.0383,199
0.0383,200
0.0383,199
0.0389,198
0.0389,196
0.0389,194
0.0389,194
0.0389,197
0.0399,199
0.0399,200
0.0399,199
0.0399,198
0.0399,197
0.0399,194
0.0399,194
0.0399,196
0.0399,199
0.0416,200
0.0416,200
0.0416,199
0.0416,197
0.0416,195
0.0416,194
0.0416,195
0.0416,198
0.0432,200
0.0432,200
0.0432,199
0.0432,198
0.0438,196
0.0438,194
0.0438,194
0.0438,197
0.0438,199
0.0448,200
0.0448,199
0.0448,198
0.0448,197
0.0448,194
0.0448,194
0.0448,196
0.0448,199
0.0448,200
0.0448,200
0.0466,199
0.0466,198
0.0466,195
0.0466,194
0.0466,195
0.0466,198
0.0466,199
0.0466,200
0.0482,199
0.0482,198
0.0482,196
0.0482,194
0.0482,194
0.0482,197
0.0482,199
0.0482,200
0.0499,200
0.0499,199
0.0499,197
0.0499,194
0.0509,194
0.0514,196
0.0514,199
0.0519,200
0.0519,200
0.0519,199
0.0519,198
0.0529,195
0.0529,194
0.0529,195
0.0529,198
0.0529,199
0.0529,200
0.0529,199
0.0529,198
0.0545,196
0.0545,194
0.0545,195
0.0545,197
0.0545,199
0.0545,200
0.0545,200
0.0545,198
0.0562,197
0.0562,194
0.0562,194
0.0562,196
0.0562,199
0.0562,200
0.0578,200
0.0578,199
0.0578,198
0.0578,195
0.0595,194
0.0595,195
0.0595,198
0.0595,199
0.0595,200
0.0595,199
0.0595,198
0.0611,196
0.0617,194
0.0617,195
0.0617,197
0.0617,199
0.0617,200
0.0627,199
0.0627,199
0.0627,197
0.0627,194
0.0627,194
0.0627,196
0.0644,199
0.0644,200
0.0644,200
0.0644,199
0.0644,197
0.0644,195
0.0644,194
0.0644,195
