timestamp,ecg_value
0.0,200
0.0,199
0.0,196
0.0,193
0.0,193
0.0,197
0.0,200
0.0,201
0.0022,200
0.0022,199
0.0022,197
0.0022,194
0.0022,193
0.0022,195
0.0022,199
0.0022,201
0.0022,200
0.0022,199
0.0022,198
0.0022,195
0.0022,193
0.0042,194
0.0042,198
0.0042,200
0.0042,201
0.0042,200
0.0042,199
0.0042,196
0.0042,193
0.0042,194
0.0042,197
0.0042,200
0.0062,201
0.0062,200
0.0062,199
0.0062,197
0.0062,194
0.0062,193
0.0062,196
0.0062,199
0.0062,200
0.0062,200
0.0062,199
0.0082,198
0.0082,195
0.0082,193
0.0082,194
0.0082,198
0.0082,200
0.0082,200
0.0082,200
0.0082,199
0.0082,196
0.0082,193
0.0082,194
0.0082,197
0.0082,200
0.0082,200
0.0082,200
0.0082,199
0.0082,197
0.0121,194
0.0121,193
0.0127,195
0.0132,199
0.0132,200
0.0132,200
0.0139,199
0.0139,198
0.0139,195
0.0139,193
0.0139,194
0.0139,198
0.0139,200
0.0139,200
0.0139,199
0.0139,198
0.0159,196
0.0159,193
0.0159,193
0.0159,197
0.0159,200
0.0159,200
0.0159,200
0.0159,199
0.0159,197
0.0159,194
0.0159,193
0.0159,195
0.0159,199
0.0179,200
0.0179,201
0.0179,200
0.0179,198
0.0179,195
0.0179,194
0.0179,195
0.0179,199
0.0179,201
0.0179,201
0.0179,200
0.0179,199
0.0179,196
0.0199,194
0.0199,194
0.0199,197
0.0199,199
0.0199,200
0.0199,199
0.0199,198
0.0199,196
0.0199,193
0.0199,192
0.0199,195
0.0199,199
0.0199,200
0.0199,200
0.0199,200
0.0199,198
0.0199,195
0.0199,193
0.0199,195
0.0199,198
0.0199,200
0.0199,200
0.0199,200
0.0199,198
0.0199,196
0.0244,193
0.0244,194
0.0244,197
0.0244,200
0.0244,200
0.0244,200
0.0244,199
0.0244,197
0.0244,194
0.0244,193
0.0244,196
0.0244,199
0.0244,200
0.0244,200
0.0244,199
0.0244,198
0.0244,195
0.0244,193
0.0284,195
0.0284,198
0.0293,200
0.0293,201
0.0293,200
0.0293,199
0.0293,196
0.0293,193
0.0293,194
0.0293,197
0.0293,200
0.0293,200
0.0313,200
0.0313,199
0.0313,197
0.0313,194
0.0313,193
0.0313,196
0.0313,199
0.0313,200
0.0313,200
0.0313,199
0.0328,198
0.0328,195
0.0328,193
0.0328,195
0.0328,198
0.0328,200
0.0328,201
0.0328,200
0.0328,199
0.0328,196
0.0348,193
0.0348,194
0.0348,197
0.0353,200
0.0353,200
0.0353,200
0.0353,199
0.0353,197
0.0353,194
0.0353,193
0.0353,196
0.0353,199
0.0353,200
0.0353,200
0.0353,199
0.0353,198
0.0353,194
0.0353,193
0.0353,195
0.0353,198
0.0353,200
0.0353,200
0.0353,200
0.0353,198
0.0353,196
0.0353,193
0.0353,194
0.0353,197
0.0353,200
0.0353,201
0.0353,200
0.0353,199
0.0353,197
0.0353,194
0.0353,193
0.0353,196
0.0353,199
0.0353,200
0.0353,200
0.0411,199
0.0411,198
0.0411,195
0.0411,193
0.0411,195
0.0411,198
0.0411,200
0.0411,200
0.0411,200
0.0411,198
0.0411,195
0.0411,193
0.0411,194
0.0411,197
0.0411,200
0.0411,201
0.0411,200
0.0411,199
0.0411,197
0.0411,194
0.0411,193
0.0411,196
0.0411,199
0.0411,200
0.0411,200
0.0411,199
0.0411,198
0.0411,194
0.0457,193
0.0457,195
0.0457,198
0.0462,200
0.0462,200
0.0462,199
0.0462,198
0.0462,196
0.0462,193
0.0462,194
0.0462,197
0.0462,199
0.0462,200
0.0462,200
0.0462,199
0.0462,197
0.0462,193
0.0462,193
0.0462,196
0.0462,199
0.0491,200
0.0491,200
0.0491,199
0.0491,198
0.0491,194
0.0491,193
0.0491,195
0.0491,198
0.0491,200
0.0491,200
0.0491,199
0.0491,198
0.0491,195
0.0491,193
0.0491,194
0.0491,197
0.0491,200
0.0491,200
0.0491,200
0.0525,199
0.0525,197
0.0525,193
0.0525,193
0.0525,196
0.0525,199
0.0525,200
0.0525,200
0.0525,199
0.0525,198
0.0525,194
0.0525,193
0.0545,195
0.0545,198
0.0545,200
0.0545,200
0.0545,199
0.0545,198
0.0545,195
0.0545,193
0.0545,194
0.0545,197
0.0545,200
0.0564,200
0.0564,200
0.0564,199
0.0564,197
0.0564,194
0.0564,193
0.0575,196
0.0575,199
0.0575,200
0.0575,200
0.0575,199
0.0575,198
0.0575,194
0.0575,193
0.0575,195
0.0575,198
0.0575,200
0.0575,200
0.0575,199
0.0575,198
0.0575,195
0.0575,193
0.0575,194
0.0575,197
0.0575,200
0.0575,200
0.0575,200
0.0575,199
0.0575,197
0.0575,194
0.0575,193
0.0575,196
0.0575,199
0.0575,200
0.0624,200
0.0624,199
0.0629,198
0.0629,194
0.0641,193
0.0641,195
0.0641,198
0.0641,200
0.0641,200
0.0641,199
0.0641,198
0.0641,195
0.0641,193
0.0641,194
0.0659,197
0.0659,199
0.0659,200
0.0659,200
0.0659,199
0.0659,197
0.0659,194
0.0659,193
0.0659,196
0.0659,199
0.0659,200
0.0659,200
0.0659,199
0.0659,198
0.0659,194
0.0659,193
0.0659,195
0.0659,199
0.0659,200
0.0659,200
0.0659,199
0.0659,198
0.0659,195
0.0659,193
0.0659,194
0.0659,197
0.0659,200
0.0659,200
0.0659,200
0.0659,199
0.0659,197
0.0659,193
0.0659,193
0.0659,196
0.0659,199
0.0659,200
0.0659,200
0.0659,199
0.0659,198
0.0659,194
0.0659,193
0.0659,195
0.0659,198
0.0659,200
0.0659,200
0.0659,199
0.0659,198
0.0659,195
0.0659,193
0.0659,194
0.0659,197
0.0659,200
0.0659,200
0.074,200
0.074,198
0.074,197
0.074,193
0.075,193
0.075,196
0.075,199
0.0755,200
0.0755,200
0.0755,199
0.0755,197
0.0755,194
0.0755,193
0.0755,195
0.0755,198
0.0755,200
0.0755,200
0.0755,199
0.0755,198
0.0755,195
0.0775,193
0.0775,194
0.0775,197
0.0783,200
0.0787,200
0.0787,200
0.0787,199
0.0787,196
0.0787,193
0.0787,193
0.0787,196
0.0787,199
0.0787,200
0.0787,200
0.0808,199
0.0808,198
0.0808,194
0.0808,193
0.0808,195
0.0808,198
0.0808,200
0.0808,200
0.0808,199
0.0808,198
0.0808,195
0.0808,193
0.0808,194
0.0825,197
0.0825,200
0.0825,200
0.0825,200
0.0825,199
0.0825,197
0.0825,194
0.0825,194
0.0825,196
0.0825,199
0.0825,201
0.0825,201
0.0825,200
0.0825,198
0.0825,195
0.0825,194
0.0825,195
0.0825,199
0.0825,201
0.0825,201
0.0825,200
0.0825,199
0.0825,196
0.0825,193
0.0825,194
0.0825,197
0.0825,199
0.0825,199
0.0825,198
0.0825,198
0.0825,196
0.0825,193
0.0825,193
0.0825,196
0.0825,199
0.0825,200
0.0825,200
0.0825,199
0.0825,197
0.0825,194
0.0825,193
0.0825,195
0.0825,198
0.0825,200
0.0825,200
0.0825,199
0.0825,198
0.0825,195
0.0825,193
0.0825,194
0.0825,197
0.0825,200
0.0825,200
0.0825,200
0.0825,199
0.0906,196
0.0906,193
0.0906,193
0.0906,196
0.0906,199
0.0906,200
0.0906,200
0.0906,199
0.0906,198
0.0906,194
0.0906,193
0.0906,195
0.0906,199
0.0906,200
0.0906,200
0.0906,199
0.0906,198
0.0906,195
0.0906,193
0.0906,194
0.0906,197
0.0906,200
0.0906,200
0.0906,200
0.0906,199
0.0906,196
0.0906,193
0.0906,193
0.0906,196
0.0957,199
0.0957,200
0.0962,200
0.0962,199
0.0962,197
0.0962,194
0.0962,193
0.0962,195
0.0962,199
0.0962,200
0.0962,200
0.0962,199
0.0962,198
0.0962,195
0.0962,193
0.0962,194
0.0962,198
0.0962,200
0.0962,200
0.0991,200
0.0991,199
0.0991,196
0.0991,193
0.0991,193
0.0991,196
0.0991,199
0.0991,200
0.0991,200
0.0991,199
0.0991,198
0.0991,194
0.0991,193
0.0991,195
0.0991,199
0.0991,200
0.0991,200
0.0991,199
0.0991,198
0.0991,195
0.0991,193
0.0991,194
0.0991,197
0.0991,200
0.0991,200
0.0991,200
0.0991,199
0.0991,196
0.0991,193
0.0991,193
0.0991,196
0.0991,199
0.0991,200
0.0991,200
0.0991,199
0.0991,197
0.0991,194
0.0991,193
0.0991,195
0.0991,199
0.0991,200
0.0991,200
0.0991,199
0.0991,198
0.0991,195
0.0991,193
0.0991,194
0.0991,198
0.0991,200
0.0991,200
0.0991,199
0.0991,199
0.0991,196
0.1072,193
0.1072,193
0.1072,196
0.1072,199
0.1072,200
0.1072,200
0.1072,199
0.1072,197
0.1072,194
0.1072,193
0.1072,195
0.1072,198
0.1072,200
0.1072,200
0.1072,199
0.1072,198
0.1072,195
0.1072,193
0.1072,194
0.1072,197
