timestamp,ecg_value
0.0,197
0.0,194
0.0017,194
0.0017,197
0.0025,199
0.0025,200
0.0025,200
0.003,199
0.003,197
0.003,195
0.003,194
0.003,196
0.003,198
0.003,200
0.003,200
0.003,199
0.003,198
0.0046,196
0.0046,194
0.0046,195
0.0046,198
0.0046,199
0.0046,200
0.0046,199
0.0046,198
0.0046,197
0.0046,194
0.0046,194
0.0062,196
0.0062,199
0.0062,200
0.0062,200
0.0062,199
0.0062,198
0.0062,195
0.0062,194
0.0062,195
0.0062,198
0.0062,200
0.0062,200
0.0062,199
0.0079,198
0.0079,195
0.0079,194
0.0079,195
0.0079,197
0.0079,199
0.0079,200
0.0079,199
0.0079,198
0.0079,197
0.0079,194
0.0079,194
0.0097,197
0.0097,199
0.0097,200
0.0097,200
0.0097,199
0.0097,197
0.0097,195
0.0097,194
0.0097,196
0.0113,198
0.0113,200
0.0113,200
0.0113,199
0.0113,198
0.0113,195
0.0113,194
0.013,195
0.013,197
0.013,199
0.013,200
0.013,199
0.013,198
0.0147,197
0.0147,194
0.0147,194
0.0147,197
0.0147,199
0.0147,200
0.0147,200
0.0147,199
0.0147,197
0.0147,195
0.0147,194
0.0147,196
0.0147,198
0.0164,200
0.0164,200
0.0164,199
0.0177,198
0.0177,196
0.0177,194
0.0182,195
0.0182,197
0.019,199
0.019,200
0.0195,200
0.0195,198
0.0195,196
0.0195,194
0.0195,194
0.0195,196
0.0195,199
0.0195,200
0.0212,200
0.0212,199
0.0212,197
0.0212,195
0.0229,194
0.0234,195
0.0234,198
0.0242,200
0.0246,200
0.0246,199
0.0246,198
0.0246,195
0.0256,194
0.0256,195
0.0256,197
0.0256,199
0.0256,200
0.0256,199
0.0256,198
0.0276,196
0.0276,194
0.0276,194
0.0276,196
0.0276,199
0.0276,200
0.0276,200
0.0276,199
0.0297,197
0.0301,195
0.0306,194
0.0306,195
0.0306,198
0.0306,200
0.0326,200
0.0336,199
0.0356,198
0.0366,196
0.0366,195
0.0366,196
0.0366,198
0.0366,200
0.0383,200
0.0383,200
0.0383,198
0.0383,196
0.0383,194
0.0383,194
0.0383,196
0.0401,199
0.0401,200
0.0401,199
0.0401,198
0.0401,196
0.0401,193
0.0401,193
0.0401,195
0.0401,198
0.0401,199
0.0401,200
0.0401,199
0.0418,198
0.0418,196
0.0418,194
0.0418,195
0.0418,198
0.0418,200
0.0418,200
0.0418,199
0.0418,198
0.0418,197
0.0434,194
0.0434,194
0.0434,197
0.0434,199
0.0434,200
0.0442,200
0.0442,199
0.0442,197
0.0442,195
0.0442,194
0.0442,196
0.0442,198
