timestamp,ecg_value
0.0013,197
0.0013,195
0.0013,195
0.0013,196
0.0013,198
0.0031,199
0.0035,199
0.0035,199
0.0035,197
0.0035,196
0.0045,195
0.0045,196
0.0045,198
0.0045,199
0.0045,200
0.0045,199
0.0045,198
0.0061,196
0.0061,195
0.0061,196
0.0061,197
0.0061,199
0.0078,199
0.0078,199
0.0078,198
0.0078,197
0.0078,195
0.0078,195
0.0095,197
0.0095,198
0.0095,199
0.0095,199
0.0095,199
0.0095,197
0.0095,196
0.0111,195
0.0111,196
0.0111,198
0.0111,199
0.0111,200
0.0127,199
0.0127,198
0.0127,196
0.0127,195
0.0145,196
0.0148,198
0.0148,199
0.0148,200
0.0159,200
0.0159,199
0.0159,198
0.0176,196
0.018,196
0.018,197
0.018,198
0.018,199
0.0191,199
0.0194,198
0.0194,197
0.0194,196
0.0194,195
0.0204,196
0.0204,197
0.0204,198
0.0204,199
0.0204,198
0.0204,197
0.0204,196
0.0204,195
0.022,196
0.0224,197
0.0235,199
0.0243,200
0.0248,200
0.0254,199
0.0254,197
0.0254,196
0.0266,196
0.0279,197
0.0279,198
0.0279,199
0.0288,199
0.0299,199
0.0299,197
0.0312,196
0.0318,195
0.0332,196
0.0332,198
0.0344,199
0.0365,200
0.0365,199
0.0365,198
0.038,196
0.038,195
0.0405,196
0.041,197
0.042,199
0.042,200
0.042,199
0.0438,198
0.0438,197
0.0438,196
0.0438,196
0.046,197
0.0465,198
0.0474,200
0.0487,200
0.0496,198
0.0511,197
0.0511,196
0.0522,196
0.0544,197
0.0554,198
0.0554,199
0.0554,200
0.0576,199
0.0576,198
0.0576,197
0.0576,195
0.0576,196
0.0586,197
0.0586,199
0.0586,200
0.0586,199
0.0586,198
0.0586,197
0.0586,196
0.0586,196
0.0586,197
0.0603,198
0.0603,199
0.0603,199
0.0603,198
0.0603,197
0.0603,196
0.0603,195
0.0603,196
0.0603,198
0.0603,199
0.0603,199
0.0619,199
0.0619,197
0.0619,196
0.0619,195
0.0619,196
0.0619,197
0.0619,199
0.0619,199
0.0619,199
0.0619,198
0.0636,197
0.0636,196
0.0636,196
0.0636,197
0.0636,198
0.0636,199
0.0636,199
0.0636,198
0.0636,197
0.0636,196
0.0636,196
0.0652,196
0.0652,198
0.0652,199
0.0652,200
0.067,199
0.067,198
0.067,196
0.067,196
0.067,196
0.0698,197
0.0698,199
0.0704,199
0.0704,199
0.071,198
0.071,197
0.071,196
0.071,196
0.072,197
0.072,198
0.072,199
0.072,199
0.072,198
0.072,197
0.0737,196
0.0737,195
0.0737,196
0.0737,198
0.0737,199
0.0737,199
0.0754,199
0.0754,197
0.0754,196
0.0754,195
0.0754,196
0.0754,197
0.0771,199
0.0771,199
0.0771,199
0.0771,198
0.0771,197
0.0771,195
0.0788,195
0.0788,197
0.0788,198
0.0788,199
0.0788,199
0.0788,198
0.0806,197
0.0806,196
0.0806,195
0.0806,196
0.0806,198
0.0806,199
0.0806,199
0.0827,199
0.0827,197
0.0837,196
0.0837,195
0.0843,196
0.0843,197
0.0843,199
0.0843,199
0.0855,199
0.0855,198
0.0855,197
0.0855,196
0.0855,196
0.0855,197
0.0872,198
0.0875,199
0.0875,199
0.0875,198
0.0885,197
0.0885,196
0.0893,195
0.0893,196
0.0898,198
0.0898,199
0.0898,199
0.0898,198
0.091,197
0.091,196
0.091,195
0.091,196
0.091,197
0.0928,198
0.0928,199
0.0928,199
0.0928,198
0.0928,196
0.0928,195
0.0928,195
0.0945,197
0.0945,198
0.0945,199
0.0945,199
0.0945,198
0.0945,197
0.0962,196
0.0962,195
0.0967,196
0.0967,197
0.0967,199
0.0977,199
0.0977,198
0.0977,197
0.0977,196
0.0977,195
0.0977,196
0.0977,197
0.0994,198
0.0994,199
0.0994,199
0.0994,198
0.1011,197
0.1011,195
0.1011,196
0.1021,197
0.1021,198
0.1021,199
0.1021,199
0.1021,198
0.1021,197
0.1021,196
0.1021,195
0.1021,196
0.1021,197
0.1038,199
0.1038,199
0.1038,198
0.1038,197
0.1038,196
0.1038,195
0.1038,196
0.1038,197
0.1038,198
0.1038,199
0.1054,199
0.1054,198
0.1054,197
0.1054,195
0.1054,195
0.1054,197
0.1054,198
0.1054,199
0.1054,199
0.1054,198
0.1054,197
0.1054,196
0.1071,195
0.1071,196
0.1071,197
0.1071,199
0.1071,199
0.1071,198
0.1071,197
0.1071,196
0.1071,195
0.1071,196
0.1071,197
0.1071,198
0.1087,199
0.1087,199
0.1087,198
0.1087,196
0.1087,195
0.1087,196
0.1087,197
0.1087,198
0.1087,199
0.1087,199
0.1087,198
0.1087,197
0.1087,196
0.1103,195
0.1103,196
0.1103,198
0.1103,199
0.1103,199
0.1103,198
0.1103,197
0.1103,196
0.1103,195
0.1103,196
0.1103,197
0.1103,198
0.1103,199
0.112,199
0.112,197
0.112,196
0.112,195
0.112,196
0.112,197
0.112,198
0.112,199
0.112,199
0.112,198
0.112,197
0.112,196
0.1137,195
0.1137,196
0.1137,198
0.1137,199
0.1137,199
0.1137,198
0.1137,197
0.1137,196
0.1137,196
0.1149,196
0.1149,197
0.1149,199
0.1149,199
0.1149,199
0.1149,197
0.1149,196
0.1149,195
0.1149,195
0.1166,197
0.1166,198
0.1166,199
0.1166,199
0.1166,198
0.1166,197
0.1166,196
0.1166,196
0.1166,196
0.1166,198
0.1166,199
0.1166,199
0.1183,198
0.1183,197
0.1183,196
0.1183,195
0.1183,196
0.1183,197
0.1183,199
0.1183,199
0.1183,199
0.1183,198
0.1183,197
0.1199,195
0.1199,196
0.1199,197
0.1199,198
0.1199,200
0.1199,200
0.1199,199
0.1199,198
0.1199,197
0.1199,197
0.1199,197
0.1215,198
0.1215,198
0.1215,198
0.1215,197
0.1215,195
0.1215,194
0.1215,194
0.1215,195
0.1215,197
0.1215,198
0.1215,199
0.1215,198
0.1233,197
0.1233,195
0.1233,194
0.1233,195
0.1233,196
0.1233,198
0.1233,200
0.1233,199
0.1233,199
